Time	I.max_1	I.total_1	I.back_1
25.375	70.98039	41.5512	30.42017
25.413	70.98039	41.5512	30.42017
25.453	70.98039	42.04793	31.45658
25.494	70.98039	41.90501	31.2465
25.533	70.98039	41.6122	30.53922
25.572	70.98039	41.38388	31.0084
25.61	70.98039	41.38039	30.30112
25.649	70.98039	41.86841	31.0014
25.688	70.98039	41.5878	30.77731
25.727	70.98039	41.61046	30.51821
25.766	64.70588	41.79172	31.59664
25.805	70.98039	41.67495	31.23249
25.843	70.98039	41.98519	31.11345
25.882	70.98039	41.69237	30.9944
25.92	70.98039	41.72549	31.0084
25.959	64.70588	41.52854	31.0084
25.999	70.98039	41.72375	31.35854
26.037	70.98039	41.78649	31.35854
26.077	70.98039	42.01482	31.33753
26.115	70.98039	41.64009	30.88936
26.154	70.98039	41.64183	31.12045
26.193	70.98039	41.61394	31.01541
26.231	70.98039	41.5878	31.01541
26.269	70.98039	41.17647	30.30812
26.308	70.98039	41.46754	30.88235
26.346	70.98039	41.81089	31.12045
26.386	70.98039	41.23747	30.18207
26.425	70.98039	41.76384	31.60364
26.463	64.70588	41.52157	31.11345
26.504	70.98039	41.43616	30.53221
26.543	70.98039	41.6732	31.2395
26.581	70.98039	41.15207	30.30112
26.619	70.98039	41.61569	31.01541
26.658	70.98039	41.14684	30.28711
26.697	70.98039	41.38388	30.77031
26.736	70.98039	41.40654	30.53221
26.774	70.98039	41.40654	30.53221
26.813	70.98039	41.67146	31.58964
26.852	70.98039	41.55294	30.77031
26.891	64.70588	41.3037	30.65826
26.929	64.70588	41.35076	30.42017
26.968	70.98039	41.81089	31.45658
27.009	70.98039	41.20261	30.52521
27.048	64.70588	41.29673	30.41317
27.087	70.98039	41.41351	30.88235
27.125	64.70588	41.20436	30.18907
27.164	70.98039	41.26361	30.40616
27.202	70.98039	41.32288	30.41317
27.241	64.70588	41.29499	30.07703
27.28	64.70588	41.30196	30.67227
27.319	64.70588	41.15556	30.30812
27.357	64.70588	41.3525	30.42717
27.397	70.98039	41.52331	30.7563
27.435	70.98039	41.32636	30.42017
27.473	64.70588	40.98649	30.08403
27.515	64.70588	41.32811	30.90336
27.554	70.98039	41.55294	30.7563
27.592	70.98039	41.38039	30.41317
27.632	70.98039	41.2183	30.77731
27.67	70.98039	41.20958	31.12745
27.709	70.98039	44.39564	32.84314
27.747	90.19608	52.02615	38.5084
27.786	96.86275	55.49455	40.70028
27.824	90.19608	54.42614	41.37955
27.863	83.92157	50.44706	38.03221
27.901	70.98039	46.17516	34.92997
27.939	64.70588	42.72593	32.85014
27.979	64.70588	40.17255	30.89636
28.019	58.03922	38.21525	29.94398
28.057	58.03922	37.53377	29.51681
28.096	58.03922	37.783	29.60084
28.135	58.03922	37.783	29.60084
28.173	64.70588	38.84967	30.77731
28.212	64.70588	39.80479	31.01541
28.251	64.70588	40.86623	32.03782
28.29	70.98039	41.85447	32.52101
28.329	70.98039	43.45447	33.78151
28.368	70.98039	44.62571	33.78851
28.407	77.25491	45.82484	34.12465
28.446	77.25491	46.79913	35.29412
